name,latitude,longitude,type
Juicy Pop,48.8717809,2.3937884,restaurant
Cafézoïde,48.8876134,2.3796187,cafe
Unknown,48.8465498,2.284777,toilets
McDonald's,48.8469061,2.2850171,fast_food
Place Charles Michels,48.8468228,2.2853345,taxi
Unknown,48.8469227,2.2856922,recycling
La Goguette,48.8580287,2.3999426,nightclub
Le Gambetta,48.8595367,2.4030888,bar
Brasserie Tabac Saint-Germain,48.8600086,2.4039364,cafe
Le Lion Indomptable,48.8566933,2.4002542,restaurant
Unknown,48.8387954,2.3034409,post_box
Studio des Islettes,48.8844316,2.350683,arts_centre
Unknown,48.8491445,2.3035292,toilets
Unknown,48.8684212,2.2932783,post_box
Unknown,48.8609633,2.3016431,post_box
Café de l'Alma,48.8609068,2.3015143,cafe
Unknown,48.8604607,2.298845,post_box
Unknown,48.8543015,2.3050953,toilets
Unknown,48.8472445,2.3015767,recycling
Unknown,48.8455718,2.3018823,recycling
Unknown,48.8568303,2.2822937,post_box
Unknown,48.8578348,2.2780381,post_box
Pharmacie Charles Michels,48.8468474,2.2861719,pharmacy
Unknown,48.8470802,2.2954913,post_box
Unknown,48.846987,2.2957572,recycling
Shell,48.8475898,2.3031985,fuel
Unknown,48.8521565,2.3266646,recycling
Unknown,48.851521,2.3266631,recycling
Le Diplomate,48.88924,2.3259864,cafe
Unknown,48.8752707,2.3164208,post_box
Unknown,48.8777916,2.3180541,post_box
Unknown,48.8765765,2.3175668,post_box
Unknown,48.8766144,2.3130551,post_box
Unknown,48.8795914,2.3183667,post_box
Unknown,48.8818486,2.3225844,post_box
Café Convention,48.837093,2.2964517,cafe
Grande Pharmacie Hahnemann,48.8370582,2.2963339,pharmacy
Dupont Café,48.8372161,2.2960355,cafe
LCL,48.8375207,2.2967192,bank
Société Générale,48.8375266,2.2960585,bank
Unknown,48.8365442,2.2948691,recycling
Unknown,48.8380935,2.3056593,recycling
Unknown,48.8403553,2.3038378,recycling
Unknown,48.8524108,2.3414355,recycling
Café Jussieu,48.8456039,2.3547969,restaurant
L'Inévitable,48.8454309,2.3548324,pub
Unknown,48.8445537,2.287172,post_box
Unknown,48.848929,2.298118,post_box
Unknown,48.8448593,2.2975257,post_box
Police nationale,48.854231,2.268805,police
Unknown,48.844937,2.2896434,post_box
Paris Beaugrenelle / Lourmel,48.8466999,2.2845048,post_office
Unknown,48.8489881,2.3391,recycling
Unknown,48.8643579,2.3347495,recycling
Unknown,48.8728127,2.3145756,post_box
Unknown,48.8727355,2.3082352,post_box
Unknown,48.8736476,2.3204627,post_box
Madeleine Tronchet,48.870624,2.3242488,parking
Paris Madeleine,48.8724891,2.3267639,post_office
Unknown,48.8722561,2.3259576,post_box
Berri Ponthieu,48.8722447,2.3050374,parking_entrance
Unknown,48.8712783,2.3155587,post_box
Unknown,48.8446408,2.2799328,post_box
Avia,48.8464653,2.2801018,fuel
Paris Place Clichy,48.8835954,2.3291657,post_office
Garage Mansart,48.8820013,2.3330275,parking
Maison Sauvage,48.8536478,2.3380576,cafe
Crédit Agricole,48.8276825,2.3271004,bank
Crédit Mutuel,48.8290423,2.3331547,atm
Le Comptoir du Relais,48.8519626,2.3388319,pub
Café Lola,48.8536059,2.338277,cafe
Le Buci,48.8538386,2.338474,cafe
Bar du Marché,48.8539544,2.3370609,cafe
Café Mabillon,48.8533401,2.3357278,cafe
Les Sourires de Dante,48.8300397,2.331099,restaurant
Unknown,48.8332389,2.3329284,taxi
Odéon,48.8526288,2.3385336,taxi
Pub Gay-Lussac,48.841516,2.343644,cafe
Parc Méditérannée,48.8450514,2.3758605,parking
Parking Chalon,48.8442879,2.3767814,parking
Unknown,48.8538018,2.3337187,post_box
Paris 18 Montmartre,48.8923205,2.341663,post_office
Mairie du 18ème,48.8925057,2.3450965,taxi
Taj Mahal,48.8374507,2.3523064,restaurant
Parc Vincent Auriol - Bibliothèque,48.8351429,2.3731146,parking
Unknown,48.8328185,2.3711192,motorcycle_parking
The Lions,48.8324164,2.371249,pub
